material,name,family,layer_thickness_nm,lattice_constant_nm,band_gap_monolayer_eV,band_gap_bulk_eV,why_it_matters,in_list_catalog
MoS2,molybdenum disulfide,semiconductor (TMD),0.65,0.316,1.9,1.2,ultra-thin transistor channel; light detectors,yes
WSe2,tungsten diselenide,semiconductor (TMD),0.65,0.328,1.65,1.2,p-type transistors to pair with MoS2 in logic,yes
WS2,tungsten disulfide,semiconductor (TMD),0.62,0.315,2.0,1.3,bright light emission in a single layer,yes
MoSe2,molybdenum diselenide,semiconductor (TMD),0.65,0.329,1.55,1.1,light emitters; heterostructures with WSe2,yes
GaSe,gallium selenide,semiconductor,0.8,0.374,,2.0,nonlinear optics (changing light colour),yes
SnSe,tin selenide,semiconductor,0.57,,,0.9,thermoelectrics (turning heat into electricity),yes
In2Se3,indium(III) selenide,ferroelectric semiconductor,1.0,0.40,,1.4,memory that remembers without power,yes
Bi2Se3,bismuth selenide,topological insulator,0.95,0.414,,0.3,surfaces conduct while the inside insulates,yes
FeSe,iron selenide,superconductor,0.55,0.377,,,superconducts: zero electrical resistance when cold,yes
graphene,graphene,semimetal,0.335,0.246,0,0,strongest and most conductive sheet known,no
Si,silicon,semiconductor (3D),,0.543,,1.12,the material almost every computer chip is made of today,no
InSe,indium selenide,semiconductor,0.83,0.400,,1.26,very fast electrons for future transistors,yes
SrTiO3,strontium titanate,oxide crystal (substrate),0.39,0.391,,3.2,a launch pad for growing superconducting FeSe films,yes
